horizon,group,estimate,se,dimension,ci_low,ci_high
10,carretera,0.653673537605336,0.014283627537395,carretera,0.625677627632041,0.68166944757863
11,carretera,0.655417239894726,0.014325616742273,carretera,0.627339031079871,0.683495448709581
12,carretera,0.633062550709984,0.0153407553831785,carretera,0.602994670158954,0.663130431261013
13,carretera,0.638502963943636,0.0152195718197651,carretera,0.608672603176896,0.668333324710375
14,carretera,0.638893231953209,0.0150132708838602,carretera,0.609467221020843,0.668319242885574
15,carretera,0.652635351398069,0.0141575396038049,carretera,0.624886573774611,0.680384129021526
16,carretera,0.667729775521815,0.0136033279942513,carretera,0.641067252653083,0.694392298390548
17,carretera,0.679372836065576,0.0128785570371689,carretera,0.654130864272725,0.704614807858427
18,carretera,0.668867825382046,0.0139425382789578,carretera,0.641540450355289,0.696195200408804
19,carretera,0.662948038778226,0.0137005151081584,carretera,0.636095029166235,0.689801048390216
20,carretera,0.64836493305525,0.0145109701826509,carretera,0.619923431497254,0.676806434613246
21,carretera,0.660379811211624,0.0140208788714306,carretera,0.63289888862362,0.687860733799628
22,carretera,0.652649937966665,0.0137351833308177,carretera,0.625728978638262,0.679570897295067
23,carretera,0.654751300859161,0.0138172618225306,carretera,0.627669467687001,0.681833134031321
24,carretera,0.647893992315416,0.0137794899966869,carretera,0.62088619192191,0.674901792708923
25,carretera,0.659470167138986,0.0138170754288418,carretera,0.632388699298457,0.686551634979516
26,carretera,0.660509061400572,0.0138318817072595,carretera,0.633398573254344,0.687619549546801
0,no_carretera,0.562207012731774,0.00732541390881907,carretera,0.547849201470489,0.576564823993059
1,no_carretera,0.618506257550017,0.00691066045439318,carretera,0.604961363059407,0.632051152040628
2,no_carretera,0.636831262923212,0.00660120273400655,carretera,0.623892905564559,0.649769620281865
3,no_carretera,0.647162765123461,0.00640109690409501,carretera,0.634616615191435,0.659708915055487
4,no_carretera,0.656550958376181,0.0062166786431468,carretera,0.644366268235614,0.668735648516749
5,no_carretera,0.661184192253214,0.00609529439591302,carretera,0.649237415237224,0.673130969269203
6,no_carretera,0.664638694393201,0.00603140128377888,carretera,0.652817147876994,0.676460240909408
7,no_carretera,0.666564114871616,0.00589437070513846,carretera,0.655011148289545,0.678117081453688
8,no_carretera,0.668598776455755,0.00580804894838652,carretera,0.657215000516917,0.679982552394592
9,no_carretera,0.665525564381318,0.00590039438548427,carretera,0.653960791385769,0.677090337376867
10,no_carretera,0.668500773240287,0.00582278561971718,carretera,0.657088113425641,0.679913433054932
11,no_carretera,0.670886810248114,0.00578188124880313,carretera,0.65955432300046,0.682219297495768
12,no_carretera,0.650136502613439,0.00641911552141029,carretera,0.637555036191475,0.662717969035403
